AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,AtomicRadius,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint
62,Samarium,Sm,150.36,88,62,62,6,,2.6,1.17,5.6437,7.52E+00,1345.15,2067
63,Europium,Eu,151.964,89,63,63,6,,2.6,1.2,5.6704,5.24E+00,1095.15,1802
64,Gadolinium,Gd,157.25,93,64,64,6,,2.5,1.2,6.1501,7.90E+00,1585.15,3546
65,Terbium,Tb,158.925,94,65,65,6,,2.5,1.2,5.8638,8.23E+00,1630.15,3503
66,Dysprosium,Dy,162.5,97,66,66,6,,2.5,1.22,5.9389,8.55E+00,1680.15,2840
67,Holmium,Ho,164.93,98,67,67,6,,2.5,1.23,6.0215,8.80E+00,1743.15,2993
68,Erbium,Er,167.259,99,68,68,6,,2.5,1.24,6.1077,9.07E+00,1795.15,3503
69,Thulium,Tm,168.934,100,69,69,6,,2.4,1.25,6.1843,9.32E+00,1818.15,2223
70,Ytterbium,Yb,173.054,103,70,70,6,,2.4,1.1,6.2542,6.97E+00,1097.15,1469
71,Lutetium,Lu,174.967,104,71,71,6,,2.3,1.27,5.4259,9.84E+00,1936.15,3675
72,Hafnium,Hf,178.49,106,72,72,6,4,2.2,1.3,6.8251,1.33E+01,2500.15,4876
73,Tantalum,Ta,180.948,108,73,73,6,5,2.1,1.5,7.5496,1.67E+01,3269.15,5731
74,Wolfram,W,183.84,110,74,74,6,6,2,2.36,7.864,1.93E+01,3680.15,5828
75,Rhenium,Re,186.207,111,75,75,6,7,2,1.9,7.8335,2.10E+01,3453.15,5869
76,Osmium,Os,190.23,114,76,76,6,8,1.9,2.2,8.4382,2.26E+01,3300.15,5285
77,Iridium,Ir,192.217,115,77,77,6,9,1.9,2.2,8.967,2.26E+01,2716.15,4701
78,Platinum,Pt,195.084,117,78,78,6,10,1.8,2.28,8.9587,2.15E+01,2045.15,4098
79,Gold,Au,196.967,118,79,79,6,11,1.8,2.54,9.2255,1.93E+01,1337.73,3129
80,Mercury,Hg,200.59,121,80,80,6,12,1.8,2,10.4375,1.35E+01,234.43,630
81,Thallium,Tl,204.383,123,81,81,6,13,2.1,2.04,6.1082,1.19E+01,577.15,1746
82,Lead,Pb,207.2,125,82,82,6,14,1.8,2.33,7.4167,1.13E+01,600.75,2022
83,Bismuth,Bi,208.98,126,83,83,6,15,1.6,2.02,7.2856,9.81E+00,544.67,1837
84,Polonium,Po,210,126,84,84,6,16,1.5,2,8.417,9.32E+00,527.15,1235
85,Astatine,At,210,125,85,85,6,17,1.4,2.2,9.3,7.00E+00,575.15,610
86,Radon,Rn,222,136,86,86,6,18,1.3,,10.7485,9.73E-03,202.15,211.3
87,Francium,Fr,223,136,87,87,7,1,,0.7,4.0727,1.87E+00,300.15,950
88,Radium,Ra,226,138,88,88,7,2,,0.9,5.2784,5.50E+00,973.15,2010
89,Actinium,Ac,227,138,89,89,7,3,,1.1,5.17,1.01E+01,1323.15,3471
90,Thorium,Th,232.038,142,90,90,7,,,1.3,6.3067,1.17E+01,2028.15,5061
91,Protactinium,Pa,231.036,140,91,91,7,,,1.5,5.89,1.54E+01,1873.15,4300
